cls,fea,nsen,smax,mfmax,cmax,uar,ci95_u,bar,ci95_b,bar_exp,ci95_be_low,ci95_be_upp,eer,eer_ci95_low,eer_ci95_high,cm,eermsg,mcc,auc,pr_auc,mse,r2,ss,amax,amax_std,fmax,fmax_std,pmax,pmax_std,rmax,rmax_std,maxerr,ci95_me_low,ci95_me_low,cm,labels
cnn,pfa,1,db-izfp-mfv1,3,63.1,63.1,0.7722009368688054,63.1,0.7722009368688054,63.09476209516192,0.5447620951553711,0.5219045716655324,-,-,-,-,,0.4904027591309724,-,-,-,-,-,0.631,0.007170928965079887,0.590686383913343,0.00643691186615559,0.6288699621640093,0.007614119097605113,0.631,0.007170928965079887,85.0,1.0201357076246476,0.9790869415866488,0,USE=>WRN
cnn,sfa,1,db-izfp-mfv1,4,59.35333333333334,59.35333333333334,0.7860270404325465,59.35333333333334,0.7860270404325465,59.34959349593495,0.7329268292114555,0.7337398372125548,-,-,-,-,,0.4036815886962284,-,-,-,-,-,0.5935333333333334,0.01118451310220224,0.5764731727898864,0.012760999220353729,0.606592782934089,0.011877987751906774,0.5935333333333334,0.01118451310220224,36.42,1.3355566238239525,1.3514297310268153,0,USE=>WRN
cnn,sig,1,db-izfp-mfv1,1,28.366666666666664,28.366666666666667,0.7213801612355242,28.366666666666667,0.7213801612355242,0,0,0,-,-,-,-,,-0.07514938249927162,-,-,-,-,-,0.2836666666666666,0.021240422678363905,0.2584459026879176,0.028800503288216848,0.23931516482010706,0.03384452964228421,0.2836666666666666,0.021240422678363905,68.14,1.3117900533840765,1.2905801613156465,0,NEW=>USE
